ENGLISH SENTENCES	ARABIC SENTENCES	BANGLA SENTENCES	CHINESE SENTENCES	FRENCH SENTENCES	HATIAN CREOLE SENTENCE	MALAY SENTENCES	B_PORTUGUESE SENTENCES	RUSSIAN SENTENCES	SPANISH SENTENCES	SWAHILI  SENTENCES	TAMIL SENTENCES	THAI SENTENCES	URDU SENTENCE
It starts in two days.	إنـهـا تـبـدء فـى خـلال يـومـيـن.	দুই দিনের মধ্যে এটা শুরু হবে	天后开始。	Ça commence dans deux jours.	Li kòmanse nan de (2) jou.	Ia bermula dalam dua hari.	Começa em dois dias.	Начнется через два дня.	Eso empieza en dos días.	Kuna njia mbili unazoweza kutumia kwenda	இது இரண்டு நாட்களில் தொடங்குகிறது.	คุณสามารถไปได้สองทาง	یہ دو دن میں شروع ہوتا ہے۔
You can go two ways.	يُـمـكـنـك الـذهـاب فـى طـريـقـيـن.	তুমি দুইদিকে যেতে পারো	你可以去天。	Tu peux aller dans les deux sens.	Ou ka ale de (2) fason.	Anda boleh pergi dua arah.	Você pode ir por dois caminhos.	Можно пойти двумя путями.	Puedes ir de dos maneras.	Wale wavulana ni wazuri	நீங்கள் இரண்டு வழிகளில் செல்லலாம்.	เด็กชายเหล่านั้นดี	آپ دو راستوں پر جا سکتے ہیں۔
Those boys are nice.	هـؤلاء الـصـبـيـة ظــرفـاء.	ওই ছেলেগুলো সুন্দর	那些男孩很好。	Ces garçons sont gentils.	Tigason sa a yo joli (bèl).	Budak-budak itu baik.	Esses garotos são legais.	Эти мальчики милые.	Esos chicos son agradables.	Huo muziki ni mzuri	அந்த சிறுவர்கள் அருமையானவர்கள்.	เพลงฟังเพราะ	وہ لڑکے اچھے ہیں۔
The music sounds good.	إن الـمـوسـيـقـى تـبـدو جـيـدة.	গানটি ভাল শুনাচ্ছে	这个音乐听起来不错。	La musique est bonne.	Son mizik labon.	Muziknya sedap.	A música soa bem.	Музыка звучит хорошо.	La música suena bien.	Ramani inakuonyesha wapi pa kwenda	இந்த இசை கேட்க நன்றாக உள்ளது.	แผนที่แสดงตำแหน่งที่จะไป	موسیقی اچھی لگتی ہے۔
The map shows you where to go.	تـعـرض لكَ الخريطة إلى أين تذهب.	কোথায় যেতে হবে মানচিত্রটি দেখাচ্ছে	地图告诉你去哪里。	La carte te montre où aller.	Kat la montre w' kote w' prale a.	Peta menunjukkan ke mana anda mesti pergi.	O mapa mostra para onde ir.	Карта показывает, куда идти.	El mapa te muestra adonde ir.	Wasichana wako wapa	இந்த நிலப்படம் நீங்கள் எங்கே செல்லவேண்டும் என்று காட்டுகிறது.	ผู้หญิงอยู่ที่นี่	نقشہ آپ کو دکھاتا ہے کہ کہاں جانا ہے۔
The girls are here.	الـفــتـيـات هـنـا. / الـصـبـايـا هـنـا.	মেয়েগুলো এখানে	这些女孩们在这里。	Les filles sont ici.	Medam yo la.	Gadis-gadis ada di sini.	As garotas estão aqui.	Девочки здесь.	Las chicas están aquí.	Naona ndege watatu	பெண்கள் இங்கே உள்ளனர்.	ฉันเห็นนกสามตัว	لڑکیاں یہاں ہیں۔
I see three birds.	أنـا أرى ثلاث طـيـور.	আমি তিনটে পাখি দেখতে পাই	我看见只鸟。	Je vois trois oiseaux.	Mwen wè twa (3) zwazo.	Saya melihat tiga ekor burung.	Vejo três pássaros.	Я вижу трех птиц.	Yo veo tres aves.	Naandika maneno chini	நான் மூன்று பறவைகளை காண்கிறேன்.	เขียนคำลงไป	میں تین پرندے دیکھتا ہوں۔
Write the words down.	أُكـتـب هذه الـكـلـمـات.	শব্দগুলো লেখ	把这些单词写下来。	Écris les mots.	Ekri mo yo anba a.	Tuliskan perkataan.	Anote as palavras.	Запиши слова.	Escribe las palabras.	Nina aina mbili za pipi	சொற்களை கீழே எழுதுங்கள்.	ฉันมีขนมสองชนิด	الفاظ لکھیں۔
I have two kinds of candy.	لـدي نـوعـان مـن الـحـلـوى.	আমার কাছে দুই ধরনের ক্যান্ডি আছে	我有种糖果。	J'ai deux sortes de bonbons.	Mwen de (2) tip de bonbon.	Saya mempunyai dua jenis gula-gula.	Eu tenho dois tipos de doces.	У меня есть два вида конфет.	Yo tengo dos clases de golosinas.	Nina vitu vya kukuambia	என்னிடம் இரண்டு வகையான மிட்டாய்கள் உள்ளன.	ฉันมีบางสิ่งที่จะบอกคุณ	میرے پاس دو اقسام کی کینڈی ہے۔
I have some things to tell you.	لـدي بـعـض الأشـيـاء لأُخـبـركَ بـهـا0	তোমাকে আমার কিছু বলার আছে	我有事要告诉你。	J'ai des choses à te dire.	Mwen gen yon bagay pou m' di w'.	Saya ada beberapa perkara untuk diberitahu.	Tenho algumas coisas para te dizer.	Мне нужно кое-что тебе сказать.	Tengo algo que decirte.	Huja (mwanaume / mvulana) mara moja kwa wiki	நான் உங்களிடம் சில விஷயங்கள் கூற வேண்டும்.	เขามาสัปดาห์ละครั้ง	مجھے آپ کو کچھ باتیں بتانی ہیں۔
He comes once a week.	إنـهُ يـأتـي مـرة واحـدة فـى الأسـبـوع.	সেই সপ্তাহে একবার আসে	他一周来一次。	Il vient une fois par semaine.	Li vini yon fwa pa semèn.	Dia datang seminggu sekali.	Ele vem uma vez por semana.	Он приезжает раз в неделю.	Él viene una vez por semana.	Wengine wako wapi  ?	அவர் வாரம் ஒருமுறை வருகிறார்.	คนอื่นอยู่ที่ไหน	وہ ہفتے میں ایک مرتبہ آتا ہے۔
Where are the others?	أيـن الآخـريـن؟	অন্যরা কোথায়?	其他人在哪里？	Où sont les autres ?	Kote lòt yo?	Di mana yang lain?	Onde estão os outros?	А где остальные?	¿Dónde están los otros?	Siku zote wewe husema hivyo	மற்றவர்கள் எங்கே?	คุณมักจะพูดอย่างนั้น	دیگر کہاں ہیں؟
Don’t pet the animals.	لا تُدَّلل الـحـيـوانـات.	জন্তু লালন করো না	不要养宠物。	Ne caressez pas les animaux.	Pa karese bèt yo.	Jangan haiwan peliharaan.	Não acaricie os animais.	Не гладь животных.	No acaricies a los animales.	Usifuge hao / wale wanyama	விலங்குகளை கொஞ்ச வேண்டாம்.	อย่าเลี้ยงสัตว์	جانوروں کو پالتو مت بنائیں.
These are good pens.	هـذه أقـلامٌ جـيـدة.	এই কলমগুলো ভালো	这些是好笔。	Ce sont de bons enclos.	Plim sa a yo bon.	Ini adalah pen yang baik.	São boas canetas.	Это хорошие ручки.	Estos lapiceros son buenos.	Hizi ni kalamu nzuri	இவை நல்ல பேனாக்கள்.	นี่เป็นปากกาที่ดี	یہ اچھے قلم ہیں۔
Those are not good pens.	هـذه لــيـسـت أقـلامٌ جـيـدة.	এই কলমগুলো ভালো না	那些不是好笔。	Ceux-là ne sont pas de bons stylos.	Plim sa a yo bon.	Itu bukan pen yang baik.	Essas canetas não são boas.	Это нехорошие ручки.	Esos lapiceros no son buenos.	Hizi kalamu si nzuri	அவை நல்ல பேனாக்கள் அல்ல.	นั่นไม่ใช่ปากกาที่ดี	یہ اچھے قلم نہیں ہیں۔
I needed a push.	أنـا أحـتـاجُ إلـى دَفـعَّـة.	আমার ধাক্কা দেওয়া প্রয়োজন	我当时需要一把力。	J'avais besoin d'un coup de pouce.	Mwen te bezwen yon bourad.	Saya memerlukan dorongan.	Eu precisava de um empurrão.	Мне нужно было подтолкнуть.	Yo necesitaba un empujón.	Nilihitaji kusukumwa	எனக்கு ஒரு உத்வேகம் தேவைப்பட்டது.	ฉันต้องการแรงผลักดัน	مجھے ایک دھکے کی ضرورت تھی۔
He started the car.	لـقـد قـام بـتـشـغـيـل الـسـيـارة.	সে গাড়িটি চালনা করল	他发动了汽车。	Il a démarré la voiture.	Li te demare machin lan.	Dia memulakan kereta.	Ele começou o carro.	Он завел машину	El arrancó el carro.	Aliwasha gari	அவர் காரை எடுத்தார்.	เขาสตาร์ทรถ	اس نے گاڑی چالو کی۔
The two teams united together.	إتـحـد الـفريـقـيـن سـويـًا.	দুটি দল একত্রিত হয়েছিল	两支队伍重新聚集在了一起。	Les deux équipes se sont unies.	De (2) ekip yo te ini ansanm.	Kedua-dua pasukan bersatu.	As duas equipes se uniram.	Две команды объединились.	Los dos equipos se juntaron.	Zile / Hizo timu mbili ziliungana	இரண்டு அணிகளும் ஒன்றாக இணைக்கப்பட்டன.	ทั้งสองทีมรวมกัน	دونوں ٹیمیں متحد ہو گئیں۔
I asked for help.	لـقـد طـلـبـت الـمُـسـاعـدة.	আমি সাহায্য চেয়েছি	我请求了帮助。	J'ai demandé de l'aide.	Mwen te mande èd.	Saya meminta pertolongan.	Eu pedi ajuda.	Я просил о помощи.	Yo pedí ayuda.	Niliomba msaada	நான் உதவி கேட்டேன்.	ฉันขอความช่วยเหลือ	میں نے مدد مانگی۔
It looked good.	لـقـد بـدت جـيـدة.	এইটা সুন্দর দেখাচ্ছিল	它看起来很好。	Ça avait l'air bien.	Li sanble bon/ Li bon.	Ia kelihatan baik.	Parecia bom.	Выглядело хорошо.	Eso parecía bueno.	Ilionekana nzuri	அது பார்க்க நன்றாக இருந்தது.	มันดูดี	یہ اچھا لگ رہا تھا۔
He turned around.	لـقـد اسـتـدار	সে চারপাশে ঘুরল	他转过了身。	Il a fait demi-tour.	Li te retounen.	Dia menoleh.	Ele se virou.	Он обернулся.	Él se dio media vuelta.	Aligeuka (mwanaume / mvulana)	அவர் திரும்பினார்.	เขาหันหลังกลับ	اس نے مڑ کر دیکھا۔
I stopped him.	لـقـد أوقـفـتـهُ.	আমি তাকে থামালাম	我停住了他。	Je l'ai arrêté.	Mwen te kanpe l'.	Saya menghalangnya.	Eu o impedi.	Я остановил его.	Yo lo paré.	Nilimsimamisha	நான் அவரை நிறுத்தினேன்.	ฉันหยุดเขา	میں نے اسے روکا۔
I used your pen.	لـقـد إسـتـخـدمـت قـلـمـك.	আমি তোমার কলম ব্যবহার করেছি	我用了你的笔。	J'ai utilisé ton stylo.	Mwen te itilize plim ou an.	Saya menggunakan pen anda.	Liguei para ele ontem.	Я звонил ему вчера.	Yo usé tu lapicero.	Nilitumia kalamu yako	நான் உங்கள் பேனாவைப் பயன்படுத்தினேன்.	ฉันใช้ปากกาของคุณ	اس نے کل مجھے فون کیا۔
He lived in America.	لـقـد عـاش فـى أمـريـكـا.	সে আমেরিকা বাস করত	我尝试过给你打电话。	Il vivait en Amérique.	Li te abite amerika.	Dia tinggal di Amerika.	Ele viveu na América.	Он жил в Америке.	Yo traté de llamarte.	Nilijaribu kukupigia	அவர் அமெரிக்காவில் வாழ்ந்தார்.	ฉันพยายามโทรหาคุณ	وہ امریکہ میں رہتا تھا۔
